CU 1289830894118 312992
CF 1289830894118
FS 1289830894123 0
FS 1289830894126 0
FS 1289830894135 245904
CB 1289830894135
CU 1289830894172 245904
CF 1289830894173
FS 1289830894175 0
FS 1289830894177 0
FS 1289830894178 0
FS 1289830894180 0
FS 1289830894181 0
FS 1289830894182 0
FS 1289830894183 0
FS 1289830894184 0
FS 1289830894185 0
FS 1289830894186 0
FS 1289830894187 7856112
CB 1289830894226
CU 1289830894286 1048576
CU 1289830894325 1048576
CU 1289830894363 1048576
CU 1289830894402 1048576
CU 1289830894441 1048576
CU 1289830894480 1048576
CU 1289830894566 1048576
CU 1289830894586 516080
CF 1289830894587
FS 1289830894591 0
FS 1289830894593 1632
CB 1289830894593
CU 1289830894594 1632
CF 1289830894594
FS 1289830894596 0
FS 1289830894597 475
CB 1289830894597
CU 1289830894598 475
CF 1289830894623
FS 1289830894628 126648
CB 1289830894628
CU 1289830894650 126648
CF 1289830894650
FS 1289830894654 126648
CB 1289830894655
CU 1289830894660 126648
CF 1289830894660
FS 1289830894662 446
CB 1289830894663
CU 1289830894663 446
CF 1289830894663
FS 1289830894666 0
FS 1289830894667 195522
CB 1289830894667
CU 1289830894691 195522
CF 1289830894692
FS 1289830894694 68928
CB 1289830894694
CU 1289830894706 68928
CF 1289830894707
FS 1289830894709 312526
CB 1289830894709
CU 1289830894729 312526
CF 1289830894730
FS 1289830894731 0
FS 1289830894735 0
FS 1289830894744 0
FS 1289830894745 1052
CB 1289830894745
CU 1289830894746 1052
CF 1289830894747
FS 1289830894751 8184
CB 1289830894751
CU 1289830894752 8184
CF 1289830894753
FS 1289830894755 0
FS 1289830894756 0
FS 1289830894757 0
FS 1289830894758 0
FS 1289830894759 0
FS 1289830894760 890
CB 1289830894760
CU 1289830894762 890
CF 1289830894763
FS 1289830894764 7174
CB 1289830894764
CU 1289830894766 7174
CF 1289830894767
FS 1289830894769 0
FS 1289830894772 0
FS 1289830894774 0
FS 1289830894776 0
FS 1289830894777 0
FS 1289830894780 0
FS 1289830894784 0
FS 1289830894785 0
FS 1289830894787 0
FS 1289830894788 0
FS 1289830894790 212352
CB 1289830894792
CU 1289830894824 212352
CF 1289830894825
FS 1289830894829 0
FS 1289830894832 0
FS 1289830894833 0
FS 1289830894834 0
FS 1289830894835 0
FS 1289830894837 0
FS 1289830894839 0
FS 1289830894843 0
FS 1289830894844 1518112
CB 1289830894844
CU 1289830894922 1048576
CU 1289830894945 469536
CF 1289830894946
FS 1289830894951 0
FS 1289830894953 1556
CB 1289830894953
CU 1289830894954 1556
CF 1289830894954
FS 1289830894959 0
FS 1289830894961 766
CB 1289830894962
CU 1289830894979 766
CF 1289830894979
FS 1289830894983 18013
CB 1289830894991
CU 1289830894994 18013
CF 1289830894994
FS 1289830894998 398
CB 1289830894998
CU 1289830894999 398
CF 1289830894999
FS 1289830895001 0
FS 1289830895006 0
FS 1289830895008 0
FS 1289830895012 5844
CB 1289830895012
CU 1289830895022 5844
CF 1289830895022
FS 1289830895025 0
FS 1289830895031 0
FS 1289830895034 0
FS 1289830895035 0
FS 1289830895040 0
FS 1289830895042 5298
CB 1289830895043
CU 1289830895044 5298
CF 1289830895045
FS 1289830895048 0
FS 1289830895049 0
FS 1289830895050 0
FS 1289830895052 0
FS 1289830895053 0
FS 1289830895056 0
FS 1289830895057 0
FS 1289830895062 0
FS 1289830895064 0
FS 1289830895065 0
FS 1289830895066 0
FS 1289830895068 2438496
CB 1289830895068
CU 1289830895143 1048576
CU 1289830895203 1048576
CU 1289830895228 341344
CF 1289830895229
FS 1289830895232 0
FS 1289830895236 0
FS 1289830895237 0
FS 1289830895238 0
FS 1289830895239 0
FS 1289830895241 0
FS 1289830895243 0
FS 1289830895244 0
FS 1289830895245 762
CB 1289830895246
CU 1289830895262 762
CF 1289830895262
FS 1289830895266 452
CB 1289830895268
CU 1289830895268 452
CF 1289830895269
FS 1289830895272 0
FS 1289830895275 1362
CB 1289830895275
CU 1289830895276 1362
CF 1289830895276
FS 1289830895278 0
FS 1289830895280 751328
CB 1289830895280
CU 1289830895321 751328
CF 1289830895322
FS 1289830895325 0
FS 1289830895326 0
FS 1289830895329 0
FS 1289830895333 0
FS 1289830895334 10571680
CB 1289830895348
CU 1289830895426 1048576
CU 1289830895495 1048576
CU 1289830895638 1048576
CU 1289830895691 1048576
CU 1289830895745 1048576
CU 1289830895838 1048576
CU 1289830895887 1048576
CU 1289830895942 1048576
CU 1289830895992 1048576
CU 1289830896041 1048576
CU 1289830896045 85920
CF 1289830896046
FS 1289830896054 0
FS 1289830896058 3262
CB 1289830896060
CU 1289830896060 3262
CF 1289830896061
FS 1289830896070 0
FS 1289830896075 789
